D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D18:1
D19:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
H7:1
J1:1
J2:1
MK2:4
REF**:1
